restaurant_id,source_code,name,campus_area,location,restaurant_type,capacity,base_attraction,breakfast_hours,lunch_hours,dinner_hours,extended_hours,status
1,C001,学二餐厅,主校区-学活,学活一层,基本伙/大众口味,326,0.75,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
2,C002,学三餐厅,主校区-学活,学活二层,风味餐厅,340,0.88,07:00-14:00（早午餐）,07:00-14:00（早午餐）,17:00-21:00,晚餐至21:00,OPEN
3,C003,清真餐厅,主校区-学活,学活三层,清真/民族风味,311,0.82,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
4,C004,西式快餐厅,主校区-学活,学活一层西北侧,西式快餐/轻食,291,0.75,—,10:00-21:00（连续营业）,10:00-21:00（连续营业）,10:00-21:00,OPEN
5,C005,学四一层,主校区-东南,学四食堂一层,基本伙/大众家常,326,0.78,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
6,C006,学四风味餐厅,主校区-东南,学四食堂二层,风味餐厅,306,0.83,07:00-13:30（早午餐）,07:00-13:30（早午餐）,17:00-19:30,晚餐至19:30,OPEN
7,C007,留园餐厅,主校区-东南,学四北侧/逸夫楼周边,打菜窗口/健康窗口,256,0.74,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
8,C008,学生一餐厅,主校区-明湖,明湖餐厅一层,基本伙/大众口味,326,0.79,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
9,C009,东快餐厅,主校区-明湖,明湖餐厅二层,快餐/风味,360,0.84,—,10:00-14:00,16:30-20:30,晚餐至20:30,OPEN
10,C010,明湖餐厅,主校区-明湖,明湖餐厅三层,南方风味/平价,306,0.8,—,10:30-13:30,16:00-20:00,晚餐至20:00,OPEN
11,C011,教工餐厅,主校区-东南,留园北侧,教职工餐厅,256,0.69,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
12,C012,东区大伙餐厅,东校区,东区餐厅一层东侧,基本伙/大众口味,326,0.78,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
13,C013,东区中快餐厅,东校区,东区餐厅一层中部/西侧,风味餐厅,306,0.86,06:30-08:30,11:00-13:30,16:00-19:30,晚餐至19:30,OPEN
14,C014,东区清真餐厅,东校区,东区餐厅清真分区,清真/民族风味,311,0.79,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
15,C015,学苑美食厅,学苑区,学苑公寓9号楼地下一层,基本伙/大众口味,326,0.75,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
16,C016,学苑风味厅,学苑区,学苑公寓9号楼地下一层,风味餐厅,306,0.8,07:00-09:00,11:00-13:30,17:00-20:00,晚餐至20:00,OPEN
17,C017,学苑清真厅,学苑区,学苑公寓9号楼地下一层,清真/民族风味,311,0.81,07:00-09:00,11:00-13:00,17:00-19:00,—,OPEN
18,C018,学苑西餐厅,学苑区,学苑公寓9号楼地下一层,西餐/风味,306,0.86,—,10:00-13:30,17:00-20:00,晚餐至20:00,OPEN
19,C019,益民餐厅,东门外/家属区,东门外,面食/盖饭/家属区餐厅,305,0.79,06:00-14:00（早午餐）,06:00-14:00（早午餐）,16:00-20:30,早午连续，晚餐至20:30,OPEN
